Station (alphabetical by borough),2017,2018,2019,2020,2021,2022,2021-2022 Change,,2022 Rank
The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx
138 St-Grand Concourse,"1,036,746","944,598","1,035,878","371,408","656,866","766,610","109,744",16.70%,333
149 St-Grand    Concourse,"4,255,015","3,972,763","3,931,908","1,815,785","1,832,521","2,026,363","193,842",10.60%,152
161 St-Yankee    Stadium,"8,596,506","8,392,290","8,254,928","3,221,651","4,077,604","5,023,193","945,589",23.20%,37
167 St,"2,954,228","2,933,140","2,653,237","1,396,287","1,615,072","1,847,368","232,296",14.40%,165
167 St,"3,293,451","2,022,919","2,734,530","1,422,149","1,508,270","1,492,833","-15,437",-1.00%,194
170 St,"2,785,331","2,562,443","2,487,611","1,265,950","1,278,506","1,499,662","221,156",17.30%,191
170 St,"2,270,027","2,454,974","2,130,461","1,002,095","1,104,637","1,121,869","17,232",1.60%,257
174 St,"2,334,317","2,056,692","2,057,118","953,564","1,077,126","1,140,821","63,695",5.90%,252
174-175 Sts,"1,735,321","1,005,075","1,518,260","788,121","853,579","859,988","6,409",0.80%,309
176 St,"1,943,854","1,803,691","1,713,696","876,865","939,585","1,055,833","116,248",12.40%,272
182-183 Sts,"1,577,144","1,502,814","1,513,443","761,613","812,994","866,961","53,967",6.60%,307
183 St,"2,001,410","1,831,457","1,779,224","951,634","1,051,456","1,196,389","144,933",13.80%,243
219 St,"1,044,200","1,026,894","979,390","457,388","495,442","530,795","35,353",7.10%,375
225 St,"1,323,910","1,224,369","1,187,486","549,296","605,491","621,548","16,057",2.70%,354
231 St,"3,013,031","3,133,231","2,919,305","1,289,691","1,462,605","1,810,807","348,202",23.80%,170
233 St,"1,565,455","1,496,673","1,445,532","721,495","796,596","845,998","49,402",6.20%,311
238 St,"1,335,877","960,970","1,204,095","588,199","678,017","872,799","194,782",28.70%,303
3 Av-138 St,"2,515,479","2,451,972","2,503,850","1,271,192","1,359,371","1,503,905","144,534",10.60%,190
3 Av-149 St,"7,458,222","6,784,053","6,768,255","3,166,766","3,301,418","3,330,977","29,559",0.90%,79
Allerton Av,"1,678,247","1,603,702","1,614,464","760,068","850,231","896,938","46,707",5.50%,301
Baychester Av,"1,054,373","1,006,343","1,094,872","491,293","485,836","548,542","62,706",12.90%,368
Bedford Park    Blvd,"2,220,298","1,984,267","2,143,375","968,590","1,106,992","1,165,034","58,042",5.20%,248
Bedford Park    Blvd-Lehman College,"1,716,853","1,575,555","1,538,253","691,845","795,864","1,091,465","295,601",37.10%,263
Bronx Park    East,"799,927","752,916","769,303","354,016","421,588","470,109","48,521",11.50%,387
Brook Av,"1,938,814","1,895,570","1,823,468","949,904","1,026,185","1,117,049","90,864",8.90%,260
Buhre Av,"1,094,122","1,110,307","1,146,032","519,694","585,402","734,364","148,962",25.40%,339
Burke Av,"1,064,119","997,617","1,000,896","480,152","531,811","552,450","20,639",3.90%,367
Burnside Av,"3,442,348","3,198,218","3,113,514","1,473,081","1,614,822","1,824,767","209,945",13.00%,169
Castle Hill    Av,"2,071,819","2,000,084","1,954,511","947,432","1,043,725","1,196,644","152,919",14.70%,242
Cypress Av,"1,230,910","1,113,667","1,043,922","507,795","519,868","559,225","39,357",7.60%,366
East 143    St-St Mary's St,"285,667","301,240","313,938","168,285","196,864","254,297","57,433",29.20%,413
East 149 St,"1,531,045","1,508,022","1,467,410","788,235","828,659","927,728","99,069",12.00%,293
East 180 St,"2,589,024","2,249,646","2,211,198","1,142,139","1,216,916","1,421,302","204,386",16.80%,211
Eastchester-Dyre    Av,"1,261,041","1,259,009","1,331,886","631,122","658,061","724,813","66,752",10.10%,341
Elder Av,"2,107,677","2,000,985","1,996,492","1,053,012","1,148,003","1,297,150","149,147",13.00%,226
Fordham Rd,"3,656,367","3,321,215","3,120,976","1,580,225","1,837,293","2,066,360","229,067",12.50%,149
Fordham Rd,"3,843,008","3,596,416","3,671,217","1,713,032","1,843,504","1,838,773","-4,731",-0.30%,167
Freeman St,"1,556,949","1,354,453","1,358,821","642,087","739,184","840,179","100,995",13.70%,313
Gun Hill Rd,"2,429,804","2,197,147","2,271,942","1,012,373","1,103,035","1,142,015","38,980",3.50%,251
Gun Hill Rd,"1,555,601","1,521,987","1,248,513","466,005","757,669","909,737","152,068",20.10%,299
Hunts Point    Av,"3,243,725","3,216,569","3,174,354","1,633,812","1,729,412","1,992,329","262,917",15.20%,155
Intervale Av,"1,045,483","943,016","964,689","472,958","547,183","591,075","43,892",8.00%,359
Jackson Av,"1,794,781","1,597,307","1,584,727","740,308","830,161","951,497","121,336",14.60%,290
Kingsbridge    Rd,"3,024,692","2,783,082","2,733,096","1,357,273","1,494,520","1,800,580","306,060",20.50%,172
Kingsbridge    Rd,"2,589,970","2,475,107","2,485,283","1,189,102","1,195,990","1,200,434","4,444",0.40%,241
Longwood Av,"1,084,049","1,040,934","949,680","390,165","554,609","675,547","120,938",21.80%,347
Middletown Rd,"609,861","595,044","597,839","257,912","289,799","363,695","73,896",25.50%,403
Morris Park,"685,577","668,423","711,229","318,988","373,691","469,688","95,997",25.70%,388
Morrison    Av-Soundview,"2,125,767","1,988,053","1,970,185","1,000,610","1,095,552","1,236,633","141,081",12.90%,235
Mosholu Pkwy,"2,695,090","2,531,607","2,491,758","1,274,467","1,423,888","1,647,450","223,562",15.70%,178
Mt Eden Av,"1,708,790","1,652,407","1,551,038","823,443","904,701","990,090","85,389",9.40%,285
Nereid Av,"1,085,289","1,034,335","1,006,617","470,230","538,907","588,166","49,259",9.10%,360
Norwood-205    St,"2,723,506","2,611,874","2,639,003","1,315,356","1,366,801","1,435,139","68,338",5.00%,206
Parkchester,"5,071,740","4,836,244","4,734,709","2,205,552","2,409,332","2,809,208","399,876",16.60%,100
Pelham Bay    Park,"2,207,720","2,146,552","2,134,403","951,324","1,011,530","1,123,255","111,725",11.00%,256
Pelham Pkwy,"2,849,210","2,639,586","2,651,208","1,222,206","1,427,443","1,433,009","5,566",0.40%,207
Pelham Pkwy,"869,177","844,884","896,134","405,004","447,473","547,814","100,341",22.40%,369
Prospect Av,"2,413,743","2,142,697","2,148,059","1,021,781","1,125,530","1,233,175","107,645",9.60%,236
Simpson St,"2,965,807","2,585,974","2,602,749","1,230,833","1,385,438","1,427,465","42,027",3.00%,209
St Lawrence    Av,"1,334,387","1,273,609","1,276,865","641,826","699,851","793,668","93,817",13.40%,323
Tremont Av,"3,154,608","3,246,064","3,052,099","1,433,744","1,518,048","1,446,787","-71,261",-4.70%,204
Van Cortlandt    Park-242 St,"2,249,314","2,333,136","2,189,109","980,836","1,111,670","1,350,182","238,512",21.50%,219
Wakefield-241    St,"1,578,125","1,484,478","1,404,748","711,029","773,321","798,984","25,663",3.30%,321
West Farms    Sq-East Tremont Av,"2,388,659","2,094,751","2,104,945","947,252","1,072,113","1,104,895","32,782",3.10%,261
Westchester    Sq-East Tremont Av,"1,917,007","1,817,925","1,796,415","835,515","929,707","1,037,465","107,758",11.60%,274
Whitlock Av,"595,385","592,103","586,845","308,198","331,929","378,959","47,030",14.20%,400
Woodlawn,"2,242,100","2,160,859","2,094,285","949,554","1,112,041","1,164,758","52,717",4.70%,249
Zerega Av,"799,739","792,928","795,756","361,499","401,426","482,341","80,915",20.20%,385
Brooklyn,Brooklyn,Brooklyn,Brooklyn,Brooklyn,Brooklyn,Brooklyn,Brooklyn,Brooklyn,Brooklyn
15    St-Prospect Park,"1,917,454","1,867,619","1,964,534","681,492","861,654","1,195,846","334,192",38.80%,244
18 Av,"1,948,610","1,909,554","1,942,617","851,720","953,937","1,245,222","291,285",30.50%,234
18 Av,"1,281,041","1,163,390","1,113,492","503,136","556,981","668,159","111,178",20.00%,348
18 Av,"992,834","981,261","1,179,756","677,764","895,072","1,085,017","189,945",21.20%,268
20 Av,"1,579,804","1,534,396","1,578,971","703,957","780,372","1,032,840","252,468",32.40%,275
20 Av,"664,120","1,075,077","1,142,086","486,218","627,481","833,636","206,155",32.90%,316
25 Av,"1,789,365","1,571,134","1,507,759","609,450","671,478","870,160","198,682",29.60%,304
25 St,"1,373,521","1,149,469","1,153,842","504,579","632,081","758,500","126,419",20.00%,334
36 St,"4,543,305","4,293,364","4,254,406","1,924,520","2,410,423","3,189,981","779,558",32.30%,85
4 Av  /9    St,"4,323,467","3,906,028","3,924,882","1,531,708","1,946,762","2,559,111","612,349",31.50%,116
45 St,"2,390,684","2,251,921","2,461,410","1,081,234","1,357,398","1,610,445","253,047",18.60%,179
50 St,"986,060","965,643","976,988","521,944","589,552","718,744","129,192",21.90%,342
53 St,"1,187,907","2,378,056","2,797,730","1,368,019","1,603,169","1,869,707","266,538",16.60%,164
55 St,"632,198","650,590","637,405","330,043","363,734","406,691","42,957",11.80%,398
59 St,"5,326,789","3,998,207","3,664,480","1,631,566","2,190,023","2,640,485","450,462",20.60%,110
7 Av,"3,236,816","3,126,475","3,103,599","1,007,948","1,382,641","1,896,094","513,453",37.10%,162
7 Av,"3,623,053","3,572,223","3,675,218","1,314,989","1,694,473","2,374,719","680,246",40.10%,130
71 St,"1,854,361","1,746,966","1,722,921","721,711","788,730","1,016,652","227,922",28.90%,282
77 St,"1,980,011","1,676,402","1,674,582","700,333","839,021","1,021,447","182,426",21.70%,279
79 St,"2,032,937","1,901,043","1,926,290","816,330","964,785","1,254,702","289,917",30.00%,233
8 Av,"4,088,721","3,700,661","3,801,700","1,424,892","1,771,913","2,314,853","542,940",30.60%,132
86 St,"494,456","609,555","708,542","365,213","442,826","531,019","88,193",19.90%,374
86 St,"3,516,712","3,470,741","3,434,888","1,538,353","1,869,595","2,269,098","399,503",21.40%,136
9 Av,"1,737,192","1,667,200","1,708,387","807,970","926,924","1,201,915","274,991",29.70%,239
Alabama Av,"755,935","652,030","628,299","337,011","367,463","365,853","-1,610",-0.40%,402
Atlantic Av,"557,103","559,411","469,819","228,515","273,703","332,637","58,934",21.50%,408
Atlantic    Av-Barclays Ctr,"13,571,093","13,807,282","13,939,794","5,474,265","6,420,924","8,482,075","2,061,151",32.10%,19
Avenue H,"1,006,747","1,034,018","991,766","395,439","420,875","603,679","182,804",43.40%,358
Avenue I,"326,469","326,005","584,129","262,583","286,430","352,714","66,284",23.10%,404
Avenue J,"1,912,497","1,878,547","1,775,846","799,621","973,093","1,119,574","146,481",15.10%,259
Avenue M,"1,828,941","1,808,189","1,691,285","763,258","956,834","1,135,367","178,533",18.70%,253
Avenue N,"643,200","612,201","877,383","393,183","416,424","522,722","106,298",25.50%,377
Avenue P,"534,727","509,036","739,804","333,836","361,909","468,588","106,679",29.50%,389
Avenue U,"373,322","310,821","547,776","248,310","268,720","334,808","66,088",24.60%,407
Avenue U,"734,714","830,278","1,019,104","503,937","659,430","788,389","128,959",19.60%,325
Avenue U,"2,360,833","2,329,614","2,301,941","979,080","1,194,190","1,422,746","228,556",19.10%,210
Avenue X,"738,274","775,436","758,700","334,714","345,053","442,124","97,071",28.10%,395
Bay 50 St,"900,508","826,074","821,873","351,591","431,849","563,601","131,752",30.50%,365
Bay Pkwy,"2,502,105","2,435,949","2,446,673","1,086,573","1,198,845","1,562,104","363,259",30.30%,184
Bay Pkwy,"214,153","188,225","362,802","167,877","186,383","240,275","53,892",28.90%,414
Bay Pkwy,"2,950,253","2,266,916","2,071,452","940,309","1,204,285","1,481,407","277,122",23.00%,197
Bay Ridge Av,"1,282,256","2,228,497","2,354,120","1,023,374","1,248,115","1,520,403","272,288",21.80%,189
Bay Ridge-95    St,"1,755,379","1,739,178","1,743,441","740,055","840,527","1,020,739","180,212",21.40%,280
Bedford Av,"9,644,831","9,053,980","7,836,366","2,873,798","4,989,268","7,255,571","2,266,303",45.40%,23
Bedford-Nostrand    Avs,"2,779,124","2,774,993","2,795,387","1,062,724","1,400,855","1,810,693","409,838",29.30%,171
Bergen St,"1,180,684","1,140,677","1,208,319","435,520","525,186","775,145","249,959",47.60%,329
Bergen St,"3,525,144","3,478,946","3,577,496","1,240,354","1,602,668","2,285,452","682,784",42.60%,134
Beverley Rd,"1,038,252","1,060,568","1,048,249","453,974","567,370","747,264","179,894",31.70%,337
Beverly Rd,"1,348,244","1,307,405","1,284,232","607,427","690,326","867,812","177,486",25.70%,306
Brighton    Beach,"3,957,811","3,778,194","3,745,994","1,683,782","1,947,393","2,283,378","335,985",17.30%,135
Broadway,"1,385,797","1,402,102","1,506,905","728,238","868,771","995,482","126,711",14.60%,284
Broadway    Junction,"2,911,532","2,810,636","2,759,349","1,292,868","1,317,906","1,445,460","127,554",9.70%,205
Bushwick    Av-Aberdeen St,"682,086","671,545","600,188","298,031","418,114","517,348","99,234",23.70%,378
Canarsie-Rockaway    Pkwy,"3,828,628","3,598,843","3,302,691","1,306,173","1,062,745","1,091,454","28,709",2.70%,264
Carroll St,"3,537,661","3,490,924","3,615,019","1,261,245","1,605,517","2,241,074","635,557",39.60%,138
Central Av,"539,681","725,022","1,472,067","591,081","613,375","797,703","184,328",30.10%,322
Chauncey St,"1,095,638","1,063,828","1,076,510","479,409","526,390","569,841","43,451",8.30%,363
Church Av,"2,916,680","2,818,535","2,862,033","1,335,645","1,537,560","1,844,979","307,419",20.00%,166
Church Av,"5,455,527","5,161,293","5,061,013","2,181,585","2,569,628","3,024,750","455,122",17.70%,92
Church Av,"3,148,411","3,099,383","3,051,736","1,368,063","1,579,762","1,917,284","337,522",21.40%,159
Clark St,"1,631,139","1,550,414","1,781,419","589,682","667,841","845,791","177,950",26.60%,312
Classon Av,"1,585,121","1,649,340","1,722,852","667,262","895,280","1,201,492","306,212",34.20%,240
Cleveland St,"1,011,734","901,928","880,879","436,011","451,537","459,057","7,520",1.70%,391
Clinton-Washington    Avs,"2,201,880","2,178,439","2,144,338","724,726","916,121","1,328,169","412,048",45.00%,221
Clinton-Washington    Avs,"1,551,042","1,534,802","1,609,332","574,939","787,190","1,083,797","296,607",37.70%,269
Coney    Island-Stillwell Av,"4,803,755","4,615,664","4,579,191","1,838,369","2,288,692","2,879,052","590,360",25.80%,96
Cortelyou Rd,"2,028,859","1,994,734","1,957,538","835,380","1,023,916","1,232,328","208,412",20.40%,237
Court St   /Borough Hall,"10,693,598","10,364,534","10,135,722","3,356,706","3,728,044","5,334,384","1,606,340",43.10%,32
Crescent St,"1,570,485","1,467,166","1,391,945","677,801","739,465","767,792","28,327",3.80%,331
Crown    Heights-Utica Av,"8,954,499","7,920,192","7,933,008","3,654,953","3,936,420","4,584,880","648,460",16.50%,49
Cypress Hills,"435,855","411,331","420,647","222,325","247,051","263,283","16,232",6.60%,412
DeKalb Av,"6,551,184","6,776,248","6,708,640","2,419,410","2,878,314","3,915,266","1,036,952",36.00%,61
DeKalb Av,"4,171,610","4,000,252","3,290,894","1,541,784","2,155,743","2,485,248","329,505",15.30%,125
Ditmas Av,"1,137,998","1,149,528","1,177,275","538,215","612,635","768,067","155,432",25.40%,330
East 105 St,"1,201,452","1,139,556","1,001,343","477,302","479,124","541,924","62,800",13.10%,371
Eastern    Pkwy-Brooklyn Museum,"1,530,635","1,544,013","1,338,351","441,688","681,607","920,056","238,449",35.00%,297
Euclid Av,"3,415,739","3,174,827","3,240,578","1,537,226","1,547,409","1,740,093","192,684",12.50%,177
Flatbush    Av-Brooklyn College,"6,107,780","5,822,873","5,684,108","2,404,776","2,587,148","3,270,806","683,658",26.40%,80
Flushing Av,"849,840","874,498","732,897","402,100","558,413","624,004","65,591",11.70%,353
Flushing Av,"2,764,583","2,537,390","2,773,154","1,256,788","1,372,156","1,480,637","108,481",7.90%,198
Fort Hamilton    Pkwy,"1,273,516","1,191,580","1,207,971","614,581","731,471","868,470","136,999",18.70%,305
Fort Hamilton    Pkwy,"1,786,458","1,765,887","1,800,167","633,055","817,620","1,155,293","337,673",41.30%,250
Fort Hamilton Pkwy,"988,664","969,878","1,372,278","780,316","996,284","1,344,329","348,045",34.90%,220
Franklin Av       /Botanic Garden,"4,762,184","4,604,219","4,999,385","1,849,090","2,137,307","2,870,917","733,610",34.30%,97
Franklin Av,"2,058,258","2,051,171","1,977,940","781,552","874,945","1,085,731","210,786",24.10%,266
Fulton St,"1,698,778","1,745,439","1,768,601","743,347","973,973","1,322,495","348,522",35.80%,222
Gates Av,"2,262,915","2,234,908","2,249,791","957,606","1,125,621","1,313,293","187,672",16.70%,224
Graham Av,"3,299,951","3,093,428","2,709,511","1,039,834","1,492,809","1,940,867","448,058",30.00%,158
Grand Army    Plaza,"2,265,097","2,228,173","2,295,401","813,305","984,813","1,390,871","406,058",41.20%,215
Grand St,"2,256,349","2,126,443","1,847,219","809,406","1,122,527","1,408,122","285,595",25.40%,212
Grant Av,"1,950,109","1,842,974","1,749,932","802,190","853,610","1,028,850","175,240",20.50%,277
Greenpoint Av,"2,934,770","2,859,047","3,089,912","1,296,681","1,704,159","2,092,568","388,409",22.80%,146
Halsey St,"2,131,177","2,059,030","2,120,521","871,012","950,058","1,099,779","149,721",15.80%,262
Halsey St,"2,776,078","2,625,255","2,176,141","1,005,045","1,327,970","1,582,831","254,861",19.20%,181
Hewes St,"894,671","893,262","1,117,566","468,382","516,269","564,558","48,289",9.40%,364
High St,"2,983,672","3,463,611","3,536,860","1,043,554","1,397,257","2,166,149","768,892",55.00%,142
Hoyt St,"2,137,478","1,982,208","2,293,256","898,643","1,084,836","1,397,715","312,879",28.80%,214
Hoyt-Schermerhorn    Sts,"3,264,293","3,370,038","3,605,153","1,426,671","1,744,024","2,308,619","564,595",32.40%,133
Jay    St-MetroTech,"13,007,176","12,504,027","12,238,047","4,048,255","4,473,920","6,436,276","1,962,356",43.90%,25
Jefferson St,"2,566,772","2,515,861","2,237,997","912,845","1,347,227","1,766,118","418,891",31.10%,174
Junius St,"298,119","620,548","676,092","346,436","364,344","446,604","82,260",22.60%,394
Kings Hwy,"6,040,256","5,895,421","5,938,819","2,588,491","3,187,538","3,871,890","684,352",21.50%,65
Kings Hwy,"1,531,332","1,356,085","1,129,071","488,475","510,956","637,058","126,102",24.70%,351
Kings Hwy,"910,558","1,032,541","1,371,311","691,832","897,516","1,120,133","222,617",24.80%,258
Kingston Av,"1,474,988","1,443,692","1,472,802","620,880","745,263","914,558","169,295",22.70%,298
Kingston-Throop    Avs,"2,085,536","2,099,891","2,055,094","791,030","936,706","1,265,471","328,765",35.10%,230
Knickerbocker    Av,"593,366","772,085","1,544,093","659,855","675,807","815,237","139,430",20.60%,319
Kosciuszko St,"1,979,192","1,908,610","1,779,062","731,320","882,810","1,056,675","173,865",19.70%,271
Lafayette Av,"1,621,121","1,631,673","1,599,887","619,691","791,660","1,085,680","294,020",37.10%,267
Liberty Av,"886,011","839,241","833,633","381,652","400,476","465,654","65,178",16.30%,390
Livonia Av,"1,019,591","994,378","856,615","446,530","394,344","529,679","135,335",34.30%,376
Lorimer St,"1,619,602","1,495,068","1,747,990","716,035","742,682","820,290","77,608",10.40%,318
Lorimer St    /Metropolitan Av,"5,010,601","4,821,359","4,696,924","1,780,896","2,463,789","3,409,157","945,368",38.40%,76
Marcy Av,"4,199,041","4,171,666","4,717,791","1,816,258","2,028,980","2,540,327","511,347",25.20%,119
Montrose Av,"2,306,046","2,239,760","1,933,886","828,023","1,221,841","1,520,566","298,725",24.40%,188
Morgan Av,"2,594,607","2,465,927","2,100,475","866,007","1,234,325","1,569,277","334,952",27.10%,183
Myrtle Av,"4,213,096","3,789,470","3,854,024","1,563,366","1,734,324","2,135,172","400,848",23.10%,145
Myrtle-Willoughby    Avs,"1,765,653","1,768,122","1,820,637","789,214","957,769","1,190,174","232,405",24.30%,245
Myrtle-Wyckoff    Avs,"7,302,376","6,893,183","5,927,332","2,704,645","3,318,793","4,276,355","957,562",28.90%,55
Nassau Av,"2,765,172","2,880,235","3,136,229","1,186,206","1,522,386","1,942,189","419,803",27.60%,157
Neck Rd,"1,379,473","1,366,989","1,362,524","573,448","655,522","826,571","171,049",26.10%,317
Neptune Av,"478,754","433,083","428,163","185,099","211,247","288,867","77,620",36.70%,411
Nevins St,"3,271,270","3,215,723","3,150,597","1,189,273","1,309,465","1,760,370","450,905",34.40%,176
New Lots Av,"1,810,576","1,644,379","1,643,487","800,943","821,266","934,273","113,007",13.80%,292
New Lots Av,"1,638,839","1,499,170","1,254,351","606,925","655,706","709,206","53,500",8.20%,343
New Utrecht    Av /62 St,"1,651,274","1,503,742","1,501,183","718,496","898,154","1,076,361","178,207",19.80%,270
Newkirk Av,"2,315,386","2,221,270","2,131,839","1,021,789","1,142,138","1,358,530","216,392",18.90%,217
Newkirk Plaza,"3,356,199","3,258,207","3,252,504","1,356,510","1,689,443","2,021,403","331,960",19.60%,153
Norwood Av,"1,065,073","966,728","948,571","454,457","472,565","500,597","28,032",5.90%,382
Nostrand Av,"1,295,175","1,250,715","1,370,372","512,753","603,014","745,179","142,165",23.60%,338
Nostrand Av,"5,823,419","5,609,408","5,608,232","2,150,476","2,617,531","3,346,986","729,455",27.90%,78
Ocean Pkwy,"1,022,378","1,018,695","1,033,340","462,998","548,606","665,586","116,980",21.30%,349
Park Pl,"575,188","537,340","519,984","214,950","259,323","326,818","67,495",26.00%,409
Parkside Av,"1,953,704","1,979,647","1,955,051","861,896","1,070,163","1,256,444","186,281",17.40%,232
Pennsylvania    Av,"1,054,654","1,279,685","1,360,708","662,596","719,312","792,673","73,361",10.20%,324
President St,"1,227,134","1,197,019","1,037,219","443,229","559,407","692,595","133,188",23.80%,345
Prospect Av,"961,733","1,638,002","1,780,893","676,624","885,878","1,175,311","289,433",32.70%,247
Prospect Park,"3,421,790","3,289,464","3,323,334","1,261,501","1,604,509","2,077,169","472,660",29.50%,147
Ralph Av,"1,894,817","1,850,375","1,829,126","818,101","878,860","1,010,247","131,387",14.90%,283
Rockaway Av,"1,685,468","1,412,271","1,451,431","722,986","764,655","812,348","47,693",6.20%,320
Rockaway Av,"1,794,365","1,790,683","1,787,343","781,385","837,692","988,760","151,068",18.00%,286
Saratoga Av,"1,702,107","1,535,733","1,556,357","786,160","841,082","920,284","79,202",9.40%,296
Sheepshead    Bay,"4,297,325","4,183,545","4,169,796","1,772,098","2,052,229","2,519,233","467,004",22.80%,122
Shepherd Av,"1,038,180","990,387","977,012","449,144","472,122","542,269","70,147",14.90%,370
Smith-9 Sts,"1,484,326","1,466,151","1,435,824","609,725","698,444","881,979","183,535",26.30%,302
Sterling St,"1,787,994","1,753,125","1,654,809","745,895","911,058","1,128,133","217,075",23.80%,255
Sutter Av,"1,394,283","1,246,958","1,047,762","483,645","512,751","504,518","-8,233",-1.60%,379
Sutter    Av-Rutland Rd,"1,049,559","1,968,448","2,019,485","995,590","1,056,784","1,184,067","127,283",12.00%,246
Union St,"1,935,724","2,090,848","2,271,983","808,042","1,093,965","1,457,176","363,211",33.20%,202
