Station (alphabetical by borough),2017,2018,2019,2020,2021,2022,2021-2022 Change,,2022 Rank
Utica Av,"5,271,782","5,195,786","5,106,247","2,085,483","2,249,322","2,671,676","422,354",18.80%,108
Van Siclen Av,"1,078,048","854,150","853,106","413,650","413,686","473,728","60,042",14.50%,386
Van Siclen Av,"1,026,358","955,230","918,811","437,290","442,084","501,085","59,001",13.30%,381
Van Siclen Av,"910,042","818,735","791,691","416,713","459,448","504,052","44,604",9.70%,380
West 8 St-New    York Aquarium,"789,104","818,685","837,836","315,691","431,449","583,500","152,051",35.20%,361
Wilson Av,"1,471,094","1,420,065","1,290,221","587,630","761,687","923,267","161,580",21.20%,294
Winthrop St,"2,148,162","2,140,028","1,882,065","974,253","1,203,929","1,499,531","295,602",24.60%,192
York St,"3,172,717","3,256,154","3,927,129","1,257,103","1,561,021","2,551,202","990,181",63.40%,118
Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan
1 Av,"7,071,729","6,743,140","5,345,371","2,177,284","3,960,124","5,337,253","1,377,129",34.80%,31
103 St,"4,114,291","4,072,703","3,766,055","1,470,254","1,880,611","2,574,644","694,033",36.90%,115
103 St,"4,402,069","4,065,523","4,039,570","1,851,275","2,112,042","2,489,375","377,333",17.90%,124
103 St,"1,470,838","1,630,405","1,498,363","579,191","718,579","922,327","203,748",28.40%,295
110 St,"3,734,660","3,394,176","3,316,061","1,468,770","1,722,459","2,050,861","328,402",19.10%,150
116 St,"3,729,434","3,446,526","3,345,661","1,375,593","1,612,653","1,914,872","302,219",18.70%,160
116 St,"5,066,069","4,683,148","4,572,453","2,052,609","2,341,695","2,794,564","452,869",19.30%,102
116 St,"2,253,473","2,262,578","2,288,111","896,442","1,067,970","1,358,486","290,516",27.20%,218
116 St-Columbia University,"4,586,341","4,528,136","4,380,469","1,316,284","1,822,117","2,897,994","1,075,877",59.00%,95
125 St,"2,438,960","2,457,157","2,368,025","967,478","1,203,374","1,761,867","558,493",46.40%,175
125 St,"5,054,479","4,727,671","4,644,262","1,848,803","2,121,918","2,521,152","399,234",18.80%,121
125 St,"9,088,393","8,630,430","8,554,857","3,587,673","3,772,990","4,475,736","702,746",18.60%,50
125 St,"9,335,382","9,037,343","9,208,598","3,863,203","4,353,615","5,182,313","828,698",19.00%,34
135 St,"4,768,474","4,506,259","4,268,823","1,867,402","2,048,382","2,262,461","214,079",10.50%,137
135 St,"1,743,984","1,622,552","1,743,921","667,495","753,875","1,019,037","265,162",35.20%,281
137 St-City College,"4,440,108","4,260,166","3,874,783","1,717,440","1,941,779","2,533,342","591,563",30.50%,120
14 St   /8 Av,"14,153,266","14,324,670","14,239,275","4,463,227","6,144,808","9,193,520","3,048,712",49.60%,15
14 St     /6 Av,"15,187,056","15,002,214","14,736,035","5,057,029","6,306,914","8,792,335","2,485,421",39.40%,16
14 St-Union Sq,"34,557,551","33,124,407","32,385,260","10,830,712","13,165,975","17,809,631","4,643,656",35.30%,4
145 St,"3,208,921","3,062,446","2,936,613","1,264,852","1,559,488","2,036,875","477,387",30.60%,151
145 St,"1,093,045","635,413","954,825","438,388","506,217","574,054","67,837",13.40%,362
145 St,"7,714,122","7,434,662","7,464,653","3,111,334","3,468,964","4,225,726","756,762",21.80%,56
155 St,"1,212,240","1,115,948","1,123,868","546,625","581,704","630,547","48,843",8.40%,352
155 St,"887,427","1,001,262","895,036","367,255","415,142","490,246","75,104",18.10%,384
157 St,"3,488,053","3,514,522","3,739,786","1,414,356","1,715,878","2,220,795","504,917",29.40%,140
163    St-Amsterdam Av,"1,437,340","548,092","1,390,312","617,596","679,641","783,629","103,988",15.30%,326
168 St,"7,945,871","8,150,537","6,156,288","3,265,733","4,029,229","4,657,808","628,579",15.60%,48
175 St,"4,112,450","3,879,652","4,182,625","1,665,946","1,995,451","2,135,272","139,821",7.00%,144
18 St,"2,594,336","2,683,235","2,649,616","803,924","961,311","1,497,039","535,728",55.70%,193
181 St,"3,742,446","3,605,435","3,523,536","1,682,772","115,142","1,952,205","1,837,063",1595.50%,156
181 St,"3,453,621","3,368,097","3,404,841","1,364,548","2,009,705","1,874,762","-134,943",-6.70%,163
190 St,"1,494,996","1,423,142","1,535,450","562,043","476,475","776,585","300,110",63.00%,327
191 St,"2,657,964","2,526,932","2,333,160","453,577","1,439,161","1,534,115","94,954",6.60%,185
2 Av,"5,372,036","5,034,358","5,583,944","1,846,978","2,557,592","3,571,480","1,013,888",39.60%,74
207 St,"2,097,830","2,020,214","1,853,146","892,067","998,062","1,307,026","308,964",31.00%,225
215 St,"617,727","553,050","527,505","212,402","274,527","403,240","128,713",46.90%,399
23 St,"4,557,216","4,853,909","4,627,755","1,566,363","1,843,351","2,741,773","898,422",48.70%,104
23 St,"8,265,227","9,035,498","8,659,806","2,677,996","2,985,473","4,766,220","1,780,747",59.60%,44
23 St,"7,410,618","7,420,152","7,272,610","2,341,259","2,932,938","3,897,436","964,498",32.90%,63
23 St,"8,636,801","5,099,809","8,619,473","3,100,291","3,240,722","4,752,694","1,511,972",46.70%,46
23 St,"7,651,650","8,155,834","7,085,694","2,020,698","2,468,679","3,645,349","1,176,670",47.70%,71
28 St,"4,348,170","4,444,072","4,493,352","1,367,598","1,582,275","2,584,967","1,002,692",63.40%,114
28 St,"6,836,061","3,525,030","5,834,989","2,230,478","2,553,865","3,626,532","1,072,667",42.00%,72
28 St,"4,065,263","4,445,982","4,018,310","1,197,468","1,435,457","2,142,492","707,035",49.30%,143
3 Av,"2,319,152","2,204,834","1,700,456","742,241","1,119,803","1,448,575","328,772",29.40%,203
33 St,"8,916,102","9,530,273","8,934,900","3,078,482","3,655,767","4,851,074","1,195,307",32.70%,41
34 St-Herald    Square,"39,672,507","39,111,312","39,385,436","12,826,841","15,037,793","20,972,120","5,934,327",39.50%,3
34    St-Hudson Yards,"3,098,699","3,189,867","6,108,384","2,092,769","2,811,015","4,376,335","1,565,320",55.70%,53
34 St-Penn    Station,"26,034,238","25,968,950","25,967,676","8,103,809","8,935,671","13,340,397","4,404,726",49.30%,8
34 St-Penn    Station,"24,366,500","24,857,456","25,631,364","8,010,472","9,855,288","14,328,387","4,473,099",45.40%,6
42 St-Bryant    Pk    /5 Av,"17,471,620","17,289,384","18,604,810","5,826,100","6,110,395","9,781,251","3,670,856",60.10%,13
47-50    Sts-Rockefeller Center,"8,626,669","8,394,862","7,410,041","1,985,474","2,653,104","4,692,505","2,039,401",76.90%,47
49 St,"7,111,270","7,748,504","7,684,091","2,076,871","2,328,956","3,716,861","1,387,905",59.60%,69
5 Av-53 St,"5,367,130","5,136,918","4,995,128","1,672,584","2,137,582","3,026,367","888,785",41.60%,91
5 Av-59 St,"7,751,756","8,088,925","8,134,360","2,213,137","2,481,176","4,946,989","2,465,813",99.40%,38
50 St,"6,694,422","6,441,984","6,902,595","2,002,813","2,714,329","4,126,925","1,412,596",52.00%,57
50 St,"4,557,372","2,254,820","4,550,216","1,491,039","1,775,855","2,992,231","1,216,376",68.50%,94
57 St,"11,300,097","11,978,164","11,012,550","3,474,824","4,099,554","6,429,389","2,329,835",56.80%,26
57 St-7 Av,"22,929,203","22,991,014","23,040,650","7,618,925","9,310,678","13,777,313","4,466,635",48.00%,7
59    St-Columbus Circle,"7,002,620","7,196,026","7,068,256","2,141,714","2,479,656","4,015,455","1,535,799",61.90%,59
66 St-Lincoln    Center,"6,998,999","6,537,270","6,699,711","2,511,235","2,987,056","4,278,409","1,291,353",43.20%,54
68 St-Hunter    College,"5,105,535","5,299,531","5,508,778","1,545,234","1,757,665","3,100,698","1,343,033",76.40%,89
7 Av,"12,749,746","12,879,887","12,379,560","4,498,641","5,718,388","7,791,430","2,073,042",36.30%,22
72 St,"2,799,974","1,382,963","2,837,041","935,070","1,369,718","1,904,998","535,280",39.10%,161
72 St,"8,536,209","9,068,131","9,528,891","3,752,228","4,786,684","5,884,370","1,097,686",22.90%,28
72 St,"8,276,168","7,653,602","7,821,286","3,190,550","4,117,467","5,359,989","1,242,522",30.20%,30
77 St,"5,102,655","4,990,840","4,745,863","1,678,293","2,273,868","3,182,626","908,758",40.00%,86
79 St,"5,569,352","5,686,332","5,434,212","1,549,451","2,116,673","3,260,289","1,143,616",54.00%,81
8 St-New York    University,"4,328,599","4,748,083","4,407,607","1,275,973","1,888,156","2,819,094","930,938",49.30%,99
81 St-Museum    of Natural History,"5,988,837","6,139,911","5,659,795","2,076,862","2,712,070","3,672,777","960,707",35.40%,70
86 St,"14,277,369","13,486,510","13,537,308","5,155,496","6,576,295","8,783,809","2,207,514",33.60%,17
86 St,"3,177,707","1,734,366","3,232,637","1,188,684","1,548,082","2,073,430","525,348",33.90%,148
86 St,"7,693,260","8,075,480","8,378,778","2,913,038","3,589,258","4,881,132","1,291,874",36.00%,40
86 St,"11,948,981","11,702,401","11,628,887","4,293,386","5,381,939","7,059,602","1,677,663",31.20%,24
96 St,"5,576,058","5,151,742","5,145,222","2,219,217","2,656,566","3,392,056","735,490",27.70%,77
96 St,"2,887,965","2,836,643","3,038,864","1,194,638","1,478,303","1,831,940","353,637",23.90%,168
96 St,"5,445,960","6,014,304","6,154,837","2,353,959","2,771,138","3,535,278","764,140",27.60%,75
96 St,"5,245,449","5,111,358","5,502,925","1,684,189","2,127,381","3,222,161","1,094,780",51.50%,84
Astor Place,"1,327,970","1,275,541","1,325,244","454,326","572,281","748,064","175,783",30.70%,336
Bowery,"8,234,513","8,251,885","8,362,034","2,503,222","2,632,772","4,011,235","1,378,463",52.40%,60
Bowling Green,"2,056,754","1,967,616","2,172,223","698,480","746,314","1,032,292","285,978",38.30%,276
Broad St,"11,956,465","11,414,999","12,455,155","4,062,645","5,274,947","7,806,844","2,531,897",48.00%,21
Broadway-Lafayette    St    /Bleecker St,"9,360,484","9,060,206","9,065,146","2,710,023","3,147,136","5,050,750","1,903,614",60.50%,36
Brooklyn    Bridge-City Hall   /Chambers St,"1,756,236","1,884,371","1,984,827","560,302","633,250","988,102","354,852",56.00%,287
Canal St,"5,932,386","6,160,037","6,403,172","1,965,245","2,243,849","3,247,717","1,003,868",44.70%,83
Canal St,"16,285,516","15,995,877","15,861,864","4,881,373","6,297,364","8,680,004","2,382,640",37.80%,18
Canal St,"3,947,489","4,013,259","3,703,893","1,433,586","1,917,734","2,616,906","699,172",36.50%,113
Cathedral    Pkwy-110 St,"2,377,135","1,168,203","2,396,624","934,145","1,205,170","1,524,260","319,090",26.50%,186
Cathedral    Pkwy-110 St,"2,963,206","2,823,756","2,666,985","1,060,348","1,222,250","1,475,096","252,846",20.70%,199
Central Park    North-110 St,"6,459,435","6,108,641","5,941,546","1,781,685","1,957,661","3,259,105","1,301,444",66.50%,82
Chambers St,"20,927,141","21,636,146","20,820,549","5,930,847","6,413,162","10,218,699","3,805,537",59.30%,11
Chambers St     /WTC /Park Place,"3,193,169","3,312,074","3,412,332","1,067,635","1,597,437","2,434,305","836,868",52.40%,128
Christopher    St-Sheridan Sq,"2,258,254","1,920,070","1,710,380","536,758","616,119","944,529","328,410",53.30%,291
City Hall,"8,128,719","7,922,586","8,861,296","3,388,714","4,415,980","5,961,548","1,545,568",35.00%,27
Delancey St    /Essex St,"2,329,753","2,263,932","2,079,656","1,055,222","1,154,408","1,467,267","312,859",27.10%,200
Dyckman St,"2,165,366","2,037,425","2,238,372","953,250","1,095,910","1,214,785","118,875",10.80%,238
Dyckman St,"4,458,909","4,216,327","4,460,330","1,622,512","2,013,700","2,825,001","811,301",40.30%,98
East Broadway,"1,700,180","1,757,424","1,567,005","501,136","613,327","1,090,840","477,513",77.90%,265
Franklin St,"26,838,473","27,719,115","27,715,365","8,855,302","9,728,874","14,963,870","5,234,996",53.80%,5
Fulton St,"44,928,488","45,207,849","45,745,700","13,162,826","14,002,142","22,937,475","8,935,333",63.80%,2
Grand    Central-42 St,"7,653,408","7,187,070","8,024,364","2,908,017","3,676,433","4,922,207","1,245,774",33.90%,39
Grand St,"1,209,846","1,232,448","1,120,454","473,937","532,571","610,285","77,714",14.60%,356
Harlem-148 St,"4,326,280","4,488,886","4,496,793","1,378,640","1,509,148","2,374,723","865,575",57.40%,129
Houston St,"2,954,523","2,796,626","3,150,731","1,260,062","1,396,591","1,484,846","88,255",6.30%,196
Inwood-207 St,"17,888,188","16,955,204","16,760,813","6,273,480","7,397,107","9,894,012","2,496,905",33.80%,12
Lexington Av    /59 St,"18,940,774","18,585,755","18,957,465","5,718,725","6,226,900","9,748,849","3,521,949",56.60%,14
Lexington    Av-53 St  /51 St,"6,389,408","6,506,078","6,567,634","2,441,527","3,129,478","4,070,117","940,639",30.10%,58
Lexington    Av-63 St,"1,726,646","1,686,237","1,561,844","754,010","828,832","1,025,805","196,973",23.80%,278
Marble    Hill-225 St,"4,990,346","5,142,727","4,342,692","1,218,279","1,864,902","2,673,575","808,673",43.40%,107
Prince St,"2,861,772","2,764,454","2,554,523","708,206","887,375","1,406,133","518,758",58.50%,213
Rector St,"2,213,971","2,154,295","2,014,996","594,426","674,273","952,233","277,960",41.20%,289
Rector St,"2,361,627","2,269,432","2,380,764","893,253","1,230,617","1,781,913","551,296",44.80%,173
Roosevelt    Island,"10,205,836","10,275,268","10,272,682","3,065,053","3,600,135","5,151,250","1,551,115",43.10%,35
South Ferry    /Whitehall St,"3,701,740","3,654,673","3,754,272","1,123,745","1,682,203","2,557,718","875,515",52.00%,117
Spring St,"3,637,863","3,853,792","4,423,135","1,377,863","1,762,208","2,509,293","747,085",42.40%,123
Spring St,"81,410,028","81,116,784","82,233,996","25,746,634","29,507,558","45,023,339","15,515,781",52.60%,1
Times Sq-42    St        /42 St,"6,935,020","6,452,733","6,910,581","2,029,161","1,991,358","3,065,803","1,074,445",54.00%,90
Wall St,"5,704,122","5,646,207","5,720,475","1,710,383","1,794,655","2,729,596","934,941",52.10%,105
Wall St,"13,849,130","13,446,383","14,063,633","4,503,429","5,833,859","8,145,412","2,311,553",39.60%,20
West 4    St-Washington Sq,0,"1,245,455","4,232,521","1,138,815","1,280,003","2,437,993","1,157,990",90.50%,127
WTC Cortland,0,0,0,0,,"1,245,455","1,245,455",100.00%,324
Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens
103 St-Corona Plaza,"6,498,237","6,319,564","6,399,657","3,311,294","4,069,292","4,758,594","689,302",16.90%,45
104 St,"560,309","548,871","536,924","243,156","274,883","345,525","70,642",25.70%,406
104 St,"502,541","456,765","774,888","365,060","439,642","494,615","54,973",12.50%,383
111 St,"3,721,445","3,608,389","3,836,999","2,119,770","2,399,049","2,774,756","375,707",15.70%,103
111 St,"748,813","762,641","760,163","339,066","368,997","450,084","81,087",22.00%,392
111 St,"948,885","801,639","350,344","302,101","378,100","414,879","36,779",9.70%,397
121 St,"337,075","391,696","675,500","315,015","384,709","446,750","62,041",16.10%,393
169 St,"2,629,975","2,497,336","2,465,120","1,061,564","1,241,861","1,523,722","281,861",22.70%,187
21 St,"598,061","550,464","535,536","228,383","313,868","373,697","59,829",19.10%,401
21    St-Queensbridge,"3,157,675","3,340,366","3,516,992","1,355,845","1,531,006","2,230,639","699,633",45.70%,139
30 Av,"3,437,709","2,373,721","5,230,182","1,767,179","2,033,898","2,633,548","599,650",29.50%,111
33 St-Rawson    St,"3,402,610","3,031,465","2,907,388","956,400","1,032,172","1,581,947","549,775",53.30%,182
36 Av,"1,677,211","1,446,827","1,933,812","845,827","980,573","1,288,740","308,167",31.40%,227
36 St,"1,362,430","1,513,330","1,383,420","470,766","519,938","728,776","208,838",40.20%,340
39 Av- Dutch Kills,"979,103","665,750","761,816","382,607","425,965","617,339","191,374",44.90%,355
40 St-Lowery    St,"3,261,769","3,048,104","3,074,342","1,236,614","1,539,302","2,013,903","474,601",30.80%,154
46 St,"2,781,811","2,711,011","2,609,445","1,052,114","1,250,697","1,591,672","340,975",27.30%,180
46 St-Bliss    St,"4,303,987","4,058,815","4,019,044","1,769,578","2,169,169","2,687,856","518,687",23.90%,106
52 St,"2,027,659","1,883,246","1,907,368","847,430","1,061,804","1,317,534","255,730",24.10%,223
63 Dr-Rego    Park,"4,991,559","4,769,745","4,753,706","1,954,647","2,319,942","2,798,730","478,788",20.60%,101
65 St,"1,120,703","1,129,031","1,098,148","465,309","567,622","678,095","110,473",19.50%,346
67 Av,"2,695,321","2,592,645","2,641,450","1,021,518","1,161,639","1,487,051","325,412",28.00%,195
69 St,"1,602,770","1,510,410","1,564,387","743,488","993,701","1,280,250","286,549",28.80%,228
74-Bway    /Jackson Hts-Roosevelt Av,"17,095,073","16,994,358","17,077,862","7,523,538","9,437,073","11,848,368","2,411,295",25.60%,9
75 Av,"994,127","1,019,978","1,059,027","395,084","463,228","605,747","142,519",30.80%,357
75 St-Elderts    Ln,"1,069,608","992,267","1,029,388","516,795","616,695","653,029","36,334",5.90%,350
80 St,"1,346,296","1,332,047","1,298,825","552,808","662,344","854,247","191,903",29.00%,310
82 St-Jackson    Hts,"5,018,542","4,741,470","4,893,865","2,297,896","3,182,336","3,751,240","568,904",17.90%,67
85 St-Forest    Pkwy,"1,156,600","1,063,133","1,061,293","546,685","632,887","692,867","59,980",9.50%,344
88 St,"880,776","855,851","853,110","384,745","430,498","531,202","100,704",23.40%,373
90    St-Elmhurst Av,"5,460,868","5,245,160","5,272,683","2,661,934","3,299,515","3,791,913","492,398",14.90%,66
Aqueduct    Racetrack,"641,464","732,091","601,436","168,737","234,571","200,290","-34,281",-14.60%,415
Aqueduct-North    Conduit Av,"309,029","276,067","263,422","107,146","125,407","142,044","16,637",13.30%,418
Astoria Blvd,"3,988,480","4,226,298","723,354","1,053,976","1,582,181","2,182,362","600,181",37.90%,141
Astoria-Ditmars    Blvd,"5,031,462","4,543,854","5,277,341","1,996,236","2,280,654","2,999,579","718,925",31.50%,93
Beach 105 St,"97,654","92,852","88,439","37,750","41,437","57,637","16,200",39.10%,422
Beach 25 St,"582,975","543,839","517,164","258,136","267,817","314,340","46,523",17.40%,410
Beach 36 St,"298,395","275,165","292,305","149,257","155,722","174,537","18,815",12.10%,416
Beach 44 St,"214,473","216,609","215,701","109,448","111,217","127,686","16,469",14.80%,420
Beach 60 St,"726,189","630,038","623,826","313,416","312,493","349,205","36,712",11.70%,405
Beach 67    St-Arverne By The Sea,"792,444","669,421","718,008","366,760","383,966","436,104","52,138",13.60%,396
Beach 90 St,"411,887","382,766","348,771","129,188","148,147","171,603","23,456",15.80%,417
Beach 98 St,"180,588","154,620","164,130","63,297","71,935","93,397","21,462",29.80%,421
Briarwood-Van    Wyck Blvd,"1,489,396","1,462,744","1,501,152","627,403","742,983","968,251","225,268",30.30%,288
Broad Channel,"87,774","82,248","90,358","35,837","39,981","49,631","9,650",24.10%,423
Broadway,"4,060,805","2,436,810","3,038,655","1,463,280","1,809,540","2,365,718","556,178",30.70%,131
Court Sq,"7,003,218","7,218,939","7,033,377","2,368,959","2,830,854","4,426,924","1,596,070",56.40%,52
Elmhurst Av,"4,039,686","3,898,046","3,867,341","1,706,575","2,047,952","2,446,607","398,655",19.50%,126
Far    Rockaway-Mott Av,"1,472,005","1,376,087","1,347,765","709,394","715,676","775,401","59,725",8.30%,328
Flushing-Main    St,"18,746,832","17,799,862","17,568,837","6,944,923","9,206,396","11,722,581","2,516,185",27.30%,10
Forest Av,"796,742","927,801","1,310,163","609,687","689,509","861,278","171,769",24.90%,308
Forest    Hills-71 Av,"8,748,221","8,115,385","8,027,234","3,100,667","3,659,612","4,794,614","1,135,002",31.00%,42
Fresh Pond Rd,"1,198,376","1,400,512","1,776,084","841,585","937,847","1,132,629","194,782",20.80%,254
Grand    Av-Newtown,"5,792,378","5,713,827","5,730,846","2,394,479","2,932,966","3,588,300","655,334",22.30%,73
Howard    Beach-JFK Airport,"1,123,405","1,154,695","1,171,303","325,750","457,932","766,744","308,812",67.40%,332
Hunters Point    Av,"1,999,970","1,932,478","1,885,928","705,574","703,246","1,038,309","335,063",47.60%,273
Jamaica    Center-Parsons-Archer,"11,604,228","10,681,269","10,010,419","4,284,646","4,766,773","5,240,027","473,254",9.90%,33
Jamaica-179    St,"6,463,698","6,270,766","6,262,449","2,741,359","3,023,613","3,723,038","699,425",23.10%,68
Jamaica-Van    Wyck,"1,555,962","1,502,672","1,412,179","807,093","777,620","907,248","129,628",16.70%,300
Junction Blvd,"7,084,849","6,896,657","6,883,317","3,622,647","4,656,086","5,520,086","864,000",18.60%,29
Kew    Gardens-Union Turnpike,"7,811,007","7,680,149","7,625,674","3,054,242","3,508,016","4,448,452","940,436",26.80%,51
Mets-Willets    Point,"1,873,789","1,756,825","2,025,162","311,888","1,034,620","1,430,664","396,044",38.30%,208
Middle    Village-Metropolitan Av,"875,782","954,875","1,090,449","514,007","612,324","749,356","137,032",22.40%,335
Northern Blvd,"2,140,551","2,097,374","2,008,091","902,165","1,067,116","1,268,933","201,817",18.90%,229
Ozone    Park-Lefferts Blvd,"2,306,419","2,296,755","2,216,647","1,019,115","1,076,417","1,263,152","186,735",17.30%,231
Parsons Blvd,"1,998,650","2,003,517","2,086,114","1,089,861","1,133,530","1,377,535","244,005",21.50%,216
Queens Plaza,"3,374,948","3,886,574","4,334,290","1,422,188","1,691,730","2,662,316","970,586",57.40%,109
Queensboro    Plaza,"4,566,287","5,079,051","5,018,211","1,790,223","2,225,527","3,116,629","891,102",40.00%,87
Rockaway Blvd,"2,371,645","2,336,304","2,299,903","1,040,869","1,196,776","1,459,323","262,547",21.90%,201
Rockaway    Park-Beach 116 St,"235,691","240,483","228,144","110,133","109,098","131,421","22,323",20.50%,419
Seneca Av,"454,373","565,714","1,080,829","474,806","466,641","531,319","64,678",13.90%,372
Steinway St,"4,733,777","5,075,623","4,715,335","1,768,131","2,110,765","2,629,433","518,668",24.60%,112
Sutphin Blvd,"1,338,831","1,303,795","1,345,420","702,013","707,596","836,028","128,432",18.20%,315
Sutphin    Blvd-Archer Av-JFK Airport,"7,457,153","7,282,128","7,354,064","2,951,061","3,799,692","4,770,175","970,483",25.50%,43
Vernon    Blvd-Jackson Av,"4,821,191","4,493,326","4,623,070","1,768,317","2,189,038","3,113,214","924,176",42.20%,88
Woodhaven    Blvd,"1,512,676","1,370,889","1,337,787","681,796","753,419","838,374","84,955",11.30%,314
Woodhaven    Blvd,"6,871,409","6,509,386","6,381,132","2,634,483","3,302,348","3,905,277","602,929",18.30%,62
Woodside-61    St,"5,457,171","5,282,486","5,345,369","2,391,083","3,037,602","3,872,081","834,479",27.50%,64
Brooklyn,"379,372,550","370,231,302","370,545,959","153,292,738","183,587,543","232,489,655","48,902,112",26.6%,
Bronx,"149,220,838","139,238,932","138,381,037","65,662,311","72,920,734","81,067,948","8,147,214",11.2%,
Manhattan,"955,572,737","936,516,980","952,710,327","319,882,176","381,549,651","546,640,695","165,091,044",43.3%,
Queens,"243,113,483","234,085,767","236,149,679","100,703,801","121,918,793","153,227,167","31,308,374",25.7%,
Systemwide    Adjustment,"86,999","-12,579",,,,,0,,
System Total,"1,727,366,607","1,680,060,402","1,697,787,002","639,541,025","759,976,721","1,013,425,465","253,448,744",33.3%,
,,,,,,,,,